      60       0     -30      30       0       0       0       0       0       0
       0      80     -30      20       0       0       0       0       0       0
     -30     -30      60       0     -30      30       0       0       0       0
      30      20       0      80     -30      20       0       0       0       0
       0       0     -30     -30      60       0     -30      30       0       0
       0       0      30      20       0      80     -30      20       0       0
       0       0       0       0     -30     -30      60       0     -30      30
       0       0       0       0      30      20       0      80     -30      20
       0       0       0       0       0       0     -30     -30      60       0
       0       0       0       0       0       0      30      20       0      80
